ITIS_event_category_sid,id,name,open511_subtype
999,1040,bumps,
1000,1041,drop-off,
1001,1042,storm-drain,
1002,1043,bridge-maintenance-operations,ROAD_MAINTENANCE
1003,1044,bridge-construction,ROAD_CONSTRUCTION
1004,1045,bridge-demolition-work,ROAD_MAINTENANCE
1005,1046,seismic-retrofit,
1006,1047,overgrown-grass,
1007,1048,overgrown-brushshrubs,
1008,1049,overgrown-trees,
1009,1050,blasting,
1010,1051,avalanche-control-activities,
1011,1052,water-main-work,
1012,1053,gas-main-work,
1013,1054,work-on-underground-cables,
1014,1055,work-on-underground-services,
1015,1056,new-road-construction-layout,
1016,1057,new-road-layout,
1017,1058,temporary-lane-markings,
1018,1059,temporary-traffic-lights,
1019,1060,emergency-maintenance,EMERGENCY_MAINTENANCE
1020,1061,utiltity-work,
1021,1062,road-maintenance-cleared,
1022,1063,normal-road-layout-restored,
1023,1064,road-work-clearance-in-progress,
1024,1065,road-construction-cleared,
1025,1066,normal-traffic-lanes-restored,
1026,1067,road-work-cleared,
1027,3840,major-event,PLANNED_EVENT
1028,3841,airshow,PLANNED_EVENT
1029,3842,hot-air-ballooning,PLANNED_EVENT
1030,3843,concert,PLANNED_EVENT
1031,3844,state-occasion,PLANNED_EVENT
1032,3845,vip-visit,PLANNED_EVENT
1033,3846,show,PLANNED_EVENT
1034,3847,festival,PLANNED_EVENT
1035,3848,exhibition,PLANNED_EVENT
1036,3849,performing-arts,PLANNED_EVENT
1037,3850,outdoor-market,PLANNED_EVENT
1038,3851,fair,PLANNED_EVENT
1039,3852,carnival,PLANNED_EVENT
1040,3853,fireworks-display,PLANNED_EVENT
1041,3854,trade-expo,PLANNED_EVENT
1042,3855,movie-filming,PLANNED_EVENT
1043,3856,presidential-visit,PLANNED_EVENT
1044,3857,parade,PLANNED_EVENT
1045,3858,procession,PLANNED_EVENT
1046,3859,funeral-procession,PLANNED_EVENT
1047,3860,crowd,CROWD
1048,3861,holiday-traffic-crowds,CROWD
1049,3862,event-ended,
1050,3584,sports-event,PLANNED_EVENT
1051,3585,game,PLANNED_EVENT
1052,3586,tournament,PLANNED_EVENT
1053,3587,track-and-field-event,PLANNED_EVENT
1054,3588,baseball-game,PLANNED_EVENT
1055,3589,basketball-game,PLANNED_EVENT
1056,3590,boxing-match,PLANNED_EVENT
1057,3591,football-game,PLANNED_EVENT
1058,3592,soccer-game,PLANNED_EVENT
1059,3593,golf-tournament,PLANNED_EVENT
1060,3594,hockey-game,PLANNED_EVENT
1061,3595,tennis-tournament,PLANNED_EVENT
1062,3596,wrestling-match,PLANNED_EVENT
1063,3597,road-race,PLANNED_EVENT
1064,3598,automobile-race,PLANNED_EVENT
1065,3599,bicycle-race,PLANNED_EVENT
1066,3600,race-event,PLANNED_EVENT
